snippet,headline__main,year_mo,compound,negative,neutral,positive
Here’s hoping the next year brings some resolution. Texas Tribune reporters take a look at what to expect in 2012.,"If 2011 Was Any Indication, Hold On to Your Hats in 2012",201201,0.4215,0,0.865,0.135
"At the Insight Bowl in Tempe, Ariz., on Friday night, an overhead remote-controlled camera fell to the field late in the fourth quarter, nearly hitting one of the players.",No Injuries After Camera Falls at the Insight Bowl,201201,0,0,1,0
"Starting Saturday, North Dakota’s varsity athletics teams are operating without an official nickname or corresponding logo until at least Jan. 1, 2015, as mandated by the State Legislature",Fighting Sioux No More,201201,0,0,1,0
Manchester United Manager Alex Ferguson’s 70th birthday was ruined by his team’s stunning home loss to Blackburn.,Manchester United Upset,201201,0,0.227,0.546,0.227
The San Diego Padres acquired the two-time All-Star outfielder Carlos Quentin from the Chicago White Sox on Saturday in an attempt to bolster their anemic offense.,Padres Get Quentin From the White Sox,201201,-0.25,0.074,0.926,0
"As long as Bimbo’s 365 Club has been around, its special attraction has been Dolphina, the “girl in a fishbowl.” And Dolphina, the illusion of a tiny mermaid in an underwater grotto, swims on today.",Girl in a Fishbowl,201201,0.6908,0,0.845,0.155
"For the second night in a row, more than a dozen cars were lit on fire. There have been no arrests.","For a Second Night, Vehicles Are Set Ablaze in the Los Angeles Area",201201,-0.7579,0.319,0.681,0
"Novak Djokovic defeated David Ferrer, 6-2, 6-1, to win the World Tennis Championship exhibition tournament in Abu Dhabi, United Arab Emirates.",Djokovic Defeats Ferrer in Abu Dhabi Exhibition,201201,0.7506,0.105,0.574,0.321
"This season, the Raiders and the 49ers have had standout performances by players who rarely get their hands on the ball.",Fancy Footwork for the Raiders and 49ers,201201,0,0,1,0
Mr. Taback won the Caldecott Medal in 2000 for his adaptation of the Yiddish folktale “Joseph Had a Little Overcoat.”,"Simms Taback, Author of Wry Children’s Books, Dies at 79",201201,0.7783,0,0.714,0.286
Andrew Bynum had 29 points and 13 rebounds in his season debut after a four-game suspension for a flagrant foul in the playoffs.,"His Suspension Over, Bynum Shores Up Lakers",201201,0,0,1,0
"A year ago, counties turned down an offer of state money to keep the most violent juvenile offenders in their jails rather than in state facilities. The counties said no. Now they have to pay the state for housing those offenders.",Money Refused Could Become Money Owed,201201,-0.9066,0.276,0.724,0
"After more than a decade in which San Francisco politics was partly defined by antidevelopment and historic preservation forces, a backlash has begun.",An Unlikely Group Rebels Against Preservation Districts,201201,0,0,1,0
"The man was preparing to board a flight in Midland, Tex., when explosives in military-grade wrapping were discovered in his luggage, officials said.",Serviceman Held for Carrying Explosives Into Texas Airport,201201,0,0,1,0
The best New Year’s Day news for Chicago’s sports teams and their fans is that 2011 is finally over.,A Year Full of Missteps Is Finally Over,201201,0.6369,0,0.811,0.189
"It’s easy to imagine some happy changes in 2012, for the Legislature, the pope, the mayor and others.",Some Lesser Imaginings (if John and Yoko Were Living in Chicago Right Now),201201,0.765,0,0.708,0.292
A Corps of Engineers study of cargo shipping on Chicago-area waterways has added to the debate on their role in the economy’s future.,Study of Waterways Stirs Debate on Roles in the Region’s Future,201201,0,0,1,0
"A dating show helped set off the toughest crackdown on television in years, exposing the tension at the heart of the Communist Party’s control of entertainment.","China TV Grows Racy, and Gets a Chaperon",201201,-0.2263,0.193,0.712,0.095
"The state comptroller and treasurer want to merge their jobs. The Senate has agreed to let voters decide, but the bill is stalled in the House.",Move to Allow Vote to Merge Treasurer and Comptroller Jobs Stalls in House,201201,-0.0644,0.078,0.782,0.14
A partnership between the Drug Enforcement Administration and drug makers is behind a shortage that is prompting a wave of complaints to the Food and Drug Administration.,F.D.A. Finds Short Supply of Attention Deficit Drugs,201201,-0.5719,0.176,0.824,0
"Professor Bennett played a vital role in deciphering Linear B, the Bronze Age Aegean script that defied solution for more than 50 years.","Emmett L. Bennett Jr., Expert on Ancient Script, Dies at 93",201201,0.7096,0,0.734,0.266
"A Princeton professor puts an economic spin on his activities, from reading to music to tennis.",Alan B. Krueger,201201,0,0,1,0
"Radio Free Asia said that four of the people detained after the confrontation in Xinjiang were children, and that they had been part of a group trying to flee the country.",Report of Clash Disputes China’s Account,201201,-0.1779,0.142,0.765,0.093
"A heartland sampler of statistics is presented to reflect the Iowa caucuses’ vital, sublime and (some might even be tempted to say) ridiculous role in the democratic process.",An Imperfect Political Weather Vane,201201,-0.0772,0.084,0.842,0.074
A letter writer’s call for a centrist third party to help ease our political dysfunction was met with both praise and skepticism.,Sunday Dialogue: Will a Third Party Help?,201201,0.7717,0.158,0.462,0.38
"Though more Americans are sensibly leaving their cars at home and opting for the bus or train, mass transit is still in deep financial trouble.",The Recession Squeeze On Buses and Trains,201201,-0.4019,0.101,0.899,0
Readers respond to recent columns.,Protecting the Accusers,201201,0,0,1,0
The last round of negotiations with the United States and five other world powers ended in January without progress.,Iran Asks to Resume Talks on Its Nuclear Program,201201,0.12,0.105,0.768,0.127
"New Year’s Day makes you feel as though you’ve been handed a large lump of time, to be shaped as you see fit.",Out the Door and Into 2012,201201,0.3612,0,0.894,0.106
Is there a connection between last year’s extreme weather and global warming? If the Republicans in Congress were less hostile to climate change research we might know.,A Tempestuous Year,201201,-0.1796,0.083,0.86,0.057
A New York county is still fighting the federal government’s efforts to upend decades of housing discrimination.,Westchester’s Desegregation Battle,201201,-0.3612,0.143,0.857,0
"Rick Santorum is rejoicing in his recent rise in the polls, yet confronting some stark realities that his campaign cannot ignore.",Santorum Seeks to Broaden His Appeal Beyond Evangelicals,201201,0.6497,0.063,0.706,0.232
"The original e-mails, released in 2009, sowed doubts about scientists’ research and integrity, and galvanized skeptics of global warming.",Police Inquiry Prompts New Speculation on Who Leaked Climate-Change E-Mails,201201,0.4404,0.149,0.581,0.27
An unpopular subsidy that had long seemed untouchable is allowed to die amid concern for deficits and debt.,"After Three Decades, Tax Credit for Ethanol Expires",201201,-0.7506,0.286,0.714,0
"Efforts to get farmers to other crops had results, but poppy production — and Taliban influence — is returning.","In Afghanistan, Poppy Growing Proves Resilient",201201,0,0,1,0
"Matthew Pennington has learned to live with the physical wounds of war, but a role as a soldier in a movie is helping him cope with post-traumatic stress disorder.",Acting Out War’s Inner Wounds,201201,-0.7845,0.281,0.638,0.081
The move comes after a pricing dispute led to the removal of MSG and MSG Plus at midnight Saturday from the cable operator’s New York metropolitan area and Buffalo systems.,Time Warner Replaces MSG Network With NBA TV,201201,-0.4019,0.088,0.912,0
Charlie Trotter will close his namesake restaurant at the end of August after a 25-year run as an influential chef.,Chicago Losing a Chef Who Refined Its Stockyards Palate,201201,0.4404,0,0.861,0.139
"Youngstown officials want a chance to study data from a fresh earthquake in the area of an injection well, which disposes of wastewater from the hydraulic fracturing process.",Disposal Halted at Well After New Quake in Ohio,201201,0.6908,0,0.741,0.259
"Campaign ads praise candidates, attack their rivals and have come with ever greater frequency as the caucuses approach.",A Relentless On-Screen Bid to Sell Candidates in Iowa,201201,0.4588,0.128,0.62,0.252
"A coalition national government led by the Indian National Congress Party demonstrated little political vision, analysts agree, and even less political backbone.",Political Bickering and Government Inaction Marked the Year in India,201201,0.7115,0,0.722,0.278
"Lottery numbers for Jan. 1, 2012, for New York, New Jersey and Connecticut.",Lottery Numbers,201201,0,0,1,0
An ultra-Orthodox demonstration in Jerusalem drew outrage after young boys wore yellow stars and striped prison camp uniforms.,Israeli Protest’s Invocation of Holocaust Is Condemned,201201,-0.7351,0.287,0.652,0.061
Many who went to the Executive Mansion on the anniversary of Gov. Andrew M. Cuomo’s inauguration said their high expectations had been fulfilled.,"At Open House, Visitors Bear Praise for Governor",201201,0.4215,0,0.887,0.113
"The American forward Charlie Davies resumed training with his French club, Sochaux.",Davies Is Back in France,201201,0,0,1,0
"Dmitriy Frenkel, who contracted polio as a child, needs expensive custom-made shoes for his disfigured foot. But Medicaid no longer covers the cost.",Wearing Special Shoes on an Arduous Journey,201201,-0.296,0.095,0.905,0
"The president at Penn State, Rodney Erickson, said no one had been hired as the football coach, and David Joyner, the acting athletic director, who is leading the search, said there was no top candidate.",Penn State Officials Say No Coach Has Been Hired,201201,-0.3818,0.115,0.838,0.047
"After the ball dropped and the clubs closed, the streets still bore signs that celebrants’ stomachs had rebelled.","In Times Sq., Gross Reminders of Overindulgence",201201,-0.4588,0.2,0.8,0
"For centuries, Russian rulers have feared protesters as a force that needed to be reined in. But the latest protests, with their mostly middle-class turnout, require a different strategy.",A Dilemma for Russian Leaders: To Suppress Protests or Not,201201,-0.7184,0.226,0.774,0
Tim Tebow and the Broncos were handed the A.F.C. West crown despite closing the regular season with a three-game losing streak.,Tebow and Broncos Win West and Go to Playoffs Despite Third Straight Loss,201201,-0.3818,0.12,0.88,0
"As the Iowa caucuses near, voters are preparing to choose their candidates. Just don’t ask them to sound happy about it.","In Iowa, a Time to Vote, and, for Many, to Settle",201201,0.5719,0,0.844,0.156
"Flexibility on state requirements may lessen opposition, but a national standard where all Americans enjoy the same benefits is still best.",‘Essential Benefits’ and Health Reform,201201,0.9451,0,0.513,0.487
"The location of Mohammad Salman Hamdani’s name on the Sept. 11 memorial suggests “loose connections,” despite his death as an early responder.","Obscuring a Muslim Name, and an American’s Sacrifice",201201,0.4847,0,0.87,0.13
Iraq must create new structures that weave Middle Eastern countries closer together while accommodating the region’s ethnic and religious diversity.,How Iraq Can Define Its Destiny,201201,0.2732,0,0.9,0.1
"Victims of corruption and injustice have no faith in the law, and yet they bring complaints, dreaming that an upright official will emerge to right their wrongs.","In China, the Grievances Keep Coming",201201,-0.7964,0.305,0.616,0.078
"Economic reports, corporate earnings and hearings this week in Washington.",Looking Ahead to Economic Reports This Week,201201,0,0,1,0
The following tax-exempt fixed-income issues are scheduled for pricing this week.,Treasury Auctions Set for This Week,201201,0,0,1,0
"The Bloomberg administration should drop the requirement that all applicants for food stamps be electronically fingerprinted, which leads too many New Yorkers to forgo help.",Stigmatizing Food Stamps,201201,0.1531,0.076,0.827,0.097
"As the Jets desperately tried to salvage the season late in their game against the Dolphins, Santonio Holmes, a team captain, was on the bench.",Holmes Ends His Season on Sideline,201201,-0.3818,0.102,0.898,0
The news that Oklahoma is now ready to accept and celebrate Woody Guthrie as a native son with an exhibition and study center for his archives is long overdue.,Homeward Goes the Dust Bowl Balladeer,201201,0.8316,0,0.74,0.26
Kris Joseph led the Orange with 22 points as Syracuse improved to 15-0.,Unbeaten Syracuse Dominates DePaul,201201,0.4767,0,0.795,0.205
"European economies are braced for a turbulent year, as widening deficits force more borrowing and growth moves further out of reach.",Austerity Reigns Over Euro Zone as Crisis Deepens,201201,0.4522,0,0.82,0.18
"The drop-off in talent after the Big Three is enormous, a quandary the Knicks created for themselves when they shipped four starters to Denver for Carmelo Anthony last February.","Where Knicks’ Depth Might Have Been, Questions Abound",201201,0.5859,0,0.844,0.156
"Ray Rice had two long touchdown runs Sunday, steadying Baltimore to a victory over the Cincinnati Bengals that gave the Ravens their third A.F.C. North title and the No. 2 seed in the playoffs.","Ravens Clinch Bye, but Bengals Tag Along to Playoffs",201201,-0.296,0.066,0.934,0
"Matt Flynn, the backup for Aaron Rodgers, set franchise records with 480 passing yards and 6 touchdowns in the Packers’ win against the Lions.","Rodgers Sits Against Lions, but Records Fall, Anyway",201201,0.5859,0,0.853,0.147
Iran’s nuclear agency announced a step forward in spite of United Nations sanctions and measures by the United States and others to stop the nation’s atomic work.,Iran Says It Has Produced Its First Nuclear Fuel Rod,201201,0,0.169,0.663,0.169
Dr. Halpern practiced for more than 50 years and wrote several books focusing on family and other relationships.,"Howard Halpern, Therapist and Self-Help Author, Dies at 82",201201,0,0,1,0
"At first, Penn State’s players felt they deserved better than an invitation to the TicketCity Bowl, but they have welcomed the chance to focus on football.",Penn State and Houston Savor a Second Chance,201201,0.7615,0,0.753,0.247
"Negotiations over fees paid by cable and satellite distributors to TV stations were largely successful, but in New York a dispute led to a blackout of the sports channel MSG.","In New York and Elsewhere, Disputes Over Television Fees Lead to a Few Blackouts",201201,-0.2846,0.111,0.814,0.075
"Stories from around New York City, including memorable moments on the subway, on the bus and in Rockefeller Center.",A Rockefeller Center Date,201201,0,0,1,0
"The Argentine bike rider Jorge Martínez Boero died after a crash on the first day of the Dakar Rally, a 15-day race from Argentina to Peru.",Biker in Dakar Rally Dies,201201,-0.743,0.223,0.777,0
"Manchester City gave its title rivals renewed hope Sunday by losing for the second time in England’s Premier League this season, allowing a goal with four seconds left in stoppage time in a 1-0 loss at Sunderland.",Manchester City Loses Again,201201,-0.25,0.123,0.804,0.073
"Petter Northug of Norway edged Dario Cologna of Switzerland to win a 10-kilometer classic-style and 10K freestyle skiathlon in the Tour de Ski cross-country series in Oberstdorf, Germany.",Norwegian Sprints to Win,201201,0.6705,0,0.82,0.18
"Philadelphia’s backup, Sergei Bobrovsky, will start in goal against the Rangers on Monday instead of Ilya Bryzgalov.",Flyers Make Goalie Switch for Classic,201201,0,0,1,0
"Adblock Plus, an “add-on” for the Firefox Web browser, will now display an “acceptable ad” by default, unless the user acts.","An Ad Blocker Opens the Gate, Ever So Slightly",201201,0,0,1,0
"The average boat passenger weighs 25 pounds more than in years past, so boat capacities need to be reconsidered, the Coast Guard says.","Bulk’s Not Just in Bulkhead, So Coast Guard Steps In",201201,0,0,1,0
"Cleveland made 16 3-pointers to beat the Nets, who slipped to 1-4.",Cavaliers Down Nets; Mavs Lose,201201,0,0,1,0
"The minor bowl games may not have an effect on a college tournament that the N.C.A.A. should institute, but they have value in ways that have nothing to do with football.","Bring on a Playoff, but Save the Bowl System",201201,0.4767,0,0.903,0.097
"Extremists on both sides of the drug-policy issue have taken over the conversation. We must give centrists a voice, or America’s drug problem will only get worse.",Overdosing on Extremism,201201,-0.7003,0.195,0.805,0
Ms. Lea was a jazz-influenced cabaret singer known for her subtle interpretations of classic American popular songs.,"Barbara Lea, Cabaret Singer, Dies at 82",201201,0.4215,0,0.843,0.157
"An international arbitration panel says that Venezuela must pay Exxon Mobil for assets it nationalized in the Orinoco Belt, a region rich with heavy oil deposits.",Venezuela Is Ordered to Pay $900 Million to Exxon Mobil,201201,0.5994,0.049,0.767,0.185
"There are chunks of grilled sirloin in what is essentially a bacon cheeseburger in meatball form. The cooked meat should be diced into small bites, not ground, for the best texture.",Lucky to Be a Leftover,201201,0.6369,0,0.873,0.127
"Chay Shegog hit the go-ahead free throws with 1 minute 11 seconds left, helping No. 25 North Carolina rally past No. 12 Miami, 65-63.",North Carolina Rallies,201201,0.2732,0.152,0.657,0.19
"United States lost to Denmark, 2-1, at the Hopman Cup in Perth, Australia, with Caroline Wozniacki and Frederik Nielsen beating Bethanie Mattek-Sands and Mardy Fish.",U.S. Falls in Hopman Cup,201201,-0.3612,0.176,0.731,0.093
"Ramirez said he would accept a switch to third base so Jose Reyes, his new teammate on the Miami Marlins, can play shortstop.",Ramirez O.K. With Third,201201,0.6124,0,0.8,0.2
"Sidwell tied the score in the 85th minute and Bobby Zamora got the go-ahead goal in the second minute of stoppage time, giving Fulham a 2-1 victory over Arsenal.",Fulham Beats Arsenal,201201,0.34,0,0.918,0.082
"The Department of Defense has identified 1,845 American service members who have died as a part of the Afghan war and related operations.",Names of the Dead,201201,-0.7906,0.268,0.679,0.054
Daniel Alfredsson scored on a power play four minutes into overtime to give the Ottawa Senators a 3-2 win over the Devils.,Senators Rally Past Devils,201201,0.3612,0.138,0.632,0.23
"Perry Jones III had 14 points with 12 rebounds, and fourth-ranked Baylor remained undefeated with a 61-52 victory over visiting Texas A&M in the Big 12 opener for both teams.",Baylor Still Unbeaten,201201,0,0,1,0
Economists say the claims and counterclaims on job creation or job destruction are often misleading.,New Laws Now Evaluated by Job Creation,201201,-0.6486,0.312,0.585,0.102
Revelations from Britain’s phone hacking scandal prompted renewed suspicions among some relatives of Sept. 11 victims that their phones had been hacked.,9/11 Relatives Who Suspect Hacking Await Answers,201201,-0.8555,0.366,0.634,0
"Corrections appearing in print on January 3, 2012.",Corrections: January 3,201201,0,0,1,0
"With Amar’e Stoudemire sidelined for a second straight game, the Knicks fell to the Raptors on Monday at Madison Square Garden.","Anthony Scores 35, but Knicks Miss Stoudemire in Loss",201201,0.2263,0,0.909,0.091
"Demonstrators resumed their protests on Monday against plans to develop a $4.8 billion gold mine, saying they feared that it would harm their water supplies.",Peru: Mine Protest Resumes,201201,-0.8225,0.291,0.709,0
"Up to 50,000 people have fled violence in a remote border area, the United Nations said Monday, after days of fighting between two ethnic groups over cattle raids.",South Sudan: Civilians Flee,201201,-0.5859,0.198,0.719,0.084
The government said it would begin this week to enforce a law that allows only women to work in women’s lingerie and apparel stores.,Saudi Arabia: Help Wanted,201201,0,0,1,0
The police say members of a paramilitary force in the Indian-controlled portion of Kashmir opened fire on hundreds of villagers who were protesting against power shortages.,Kashmir: Protesters Fired On,201201,-0.7003,0.236,0.764,0
"Indiana, which shot 53 percent to the Nets’ 37 percent, also made 13 of 21 3-point attempts.","Nets, Struggling on Offense, Watch Pacers Find Rhythm",201201,0,0,1,0
"Dan Conroy kicked a 28-yard field goal in the third overtime to lift the 12th-ranked Spartans over the No. 18 Bulldogs, 33-30.",Senior Drives the Spartans Into Position for a Victory,201201,-0.296,0.099,0.901,0
Mr. Gligorov bridged the period when Macedonia went from being a Yugoslav republic to an independent country.,"Kiro Gligorov, Ex-Leader of Macedonia, Dies at 94",201201,0,0,1,0
Daniel Alfredsson scored his 401st career goal on a power play four minutes into overtime to give the Ottawa Senators a 3-2 win over the visiting Devils on Monday night.,Devils Fall in Overtime After Losing 2-Goal Lead in Third,201201,0.3612,0.106,0.716,0.178
"Stanford’s kicker missed a field-goal attempt to win and another in overtime, clearing the way for Oklahoma State to win the Fiesta Bowl on a field goal of its own.",Oklahoma State Kicker Has Last Word in Shootout,201201,0.8591,0.06,0.65,0.29
"Over the years, Ni Yulan has been jailed for a long string of charges; the current ones include “picking quarrels.”",China Set to Punish Another Human Rights Activist,201201,-0.6486,0.238,0.762,0
Rex Ryan’s most glaring deficiency: How can he claim to have a firm command of his team if he too often doesn’t have control of himself?,Ryan’s Lack of Control Led to Fall,201201,0,0,1,0
The magazine Poetry is experiencing a bit of success ahead of its 100th birthday.,Keeping the Muse in Business,201201,0.5719,0,0.764,0.236
"A few states raised their minimum wages on New Year’s Day. At a time of increasing inequality, the federal minimum needs a boost, too.",Falling Behind,201201,0.4019,0,0.881,0.119
"Though Ms. Yarkoni became famous for entertaining the troops during Israel’s wars, she later criticized the military and tried to forge a legacy as an advocate for peace.","Yaffa Yarkoni, Who Sang for Israeli Soldiers, Dies at 86",201201,0.0772,0.172,0.648,0.18
"After a disappointing season that ended in three straight losses, Jets Coach Rex Ryan blamed himself for not realizing that players were not getting along.","For Jets, Anger and Issues Linger",201201,-0.7964,0.291,0.647,0.061
"In a stinging opinion, the Supreme Court rebukes an arbitrary ruling by an immigration court.",Irrationality in Deportation Law,201201,0.5574,0,0.783,0.217
"The Republican candidate’s sweater vests have inspired their own Twitter feed and a Web site, FearRicksVest.com. There is also a music video, “Sleeves Slow Me Down,” on YouTube.","Sleeveless and V-Necked, Santorum’s Sweaters Are Turning Heads",201201,0.4939,0,0.887,0.113
"With Peyton Manning’s absence laying bare the holes in the Colts’ roster, the owner, Jim Irsay, fired the team president, Bill Polian, and his son Chris, the general manager.","Citing Need for Change After Dismal Season, Colts Part Ways With Polians",201201,-0.5574,0.114,0.886,0
"Mr. Anderson fenced for England in the Olympics, created some of Hollywood’s greatest sword fights with actors from Errol Flynn to Antonio Banderas, and appeared on-screen himself as Darth Vader.","Bob Anderson, Sword Master, Dies at 89",201201,0.5423,0.075,0.752,0.173
The interim leaders took a step toward setting up a permanent government for the post-Qaddafi era.,Libya Begins Plan to Elect Assembly,201201,0,0,1,0
Henrik Lundqvist squared up as the Flyers’ Danny Briere bore down on him on a penalty shot with 19.6 seconds remaining to seal the Rangers’ victory in the Winter Classic.,"In Rangers’ Win at Ballpark, Lundqvist Gets the Save",201201,-0.6124,0.156,0.844,0
"In a market in which prices are down, sales are sluggish and mortgages are difficult to acquire, students still sign up for the 75-hour course required by the state to become a real estate sales representative.",A Class Where Hope Hangs On,201201,-0.6369,0.14,0.86,0
"After enduring rape and pregnancy as a young girl, Wendolyn Colon wants to one day counsel girls who have been sexually abused.",Abuse Survivor Wants to Counsel Girls,201201,-0.8402,0.296,0.704,0
"On the last full day of campaigning before the caucuses, six Republican candidates implored Iowans to turn out for them.","On Eve of First Voting of ’12, a Last Pitch in Iowa",201201,0,0,1,0
"Wearing mirrored helmets, the Ducks prevailed in a game that broke the Rose Bowl record for combined points.","Oregon Wins With Style, Comebacks and Lots of Points",201201,-0.4215,0.149,0.851,0
Reporting and policing can be a high adrenaline business. But the decade-long trajectory in New York is toward expanded police power.,"The Rules on News Coverage Are Clear, but the Police Keep Pushing",201201,0,0,1,0
"A likely boycott by harshly silenced reformists, combined with economic problems arising from Iran’s suspect nuclear program, are creating new hurdles ahead of parliamentary elections.",Election Fears and Economic Woes Pose New Challenges for Iran’s Leaders,201201,-0.6124,0.245,0.68,0.075
Newt Gingrich may be the most outspoken Republican presidential candidate when it comes to backing high-speed rail.,"For High-Speed Rail, Support in the Past From G.O.P. Presidential Hopefuls",201201,0.0258,0,0.936,0.064
"After a nationalization ruling, the American oil company could receive as much as $555 million and be released from debts totaling about $352 million.",Arbitration Award for Exxon Is Detailed,201201,0,0,1,0
"Top assistants, not proven head coaches, seem to be the focus in the search for Joe Paterno’s replacement, which has been going on for more than eight weeks.",Lowered Sights in Penn State Search,201201,0.2023,0,0.938,0.063
Among the targets of what police are investigating as possible bias attacks on Sunday night were an Islamic center and a Hindu temple in Queens.,Suspect in Firebombings Is Seen in Security Video,201201,-0.5106,0.163,0.837,0
"The cost of entering the race has jumped about $60, or 24 to 39 percent, depending on the entrant.","New York Marathon Raises Entry Fee, Citing Police Costs",201201,0,0,1,0
"The company said in a court filing that $21 billion in cleanup costs and economic damages should be paid by Halliburton, its cement contractor for the Macondo well project.",BP Tries to Shift Costs From Spill,201201,-0.2023,0.094,0.839,0.068
A scandal in Germany flared anew when the country’s biggest newspaper confirmed that President Christian Wulff had made a menacing telephone call to its editor in an effort to snuff out a damaging story.,German President’s Call to Paper Reignites Scandal Over Loan,201201,-0.7351,0.176,0.824,0
"The Giants’ second-half swoons under Tom Coughlin have been well chronicled. Still, the coach weathered it all to lead the team to the N.F.C. East title.","Coughlin Is Set in His Ways, Because They Work",201201,0.2732,0,0.923,0.077
Pawnshops and gold dealers are thriving as cash-strapped Greeks give up valuables to make ends meet. But authorities say many of the shops are concealing a rapidly expanding illicit trade in gold.,"In Greece’s Sour Economy, Some Shops Are Thriving",201201,0.4767,0,0.906,0.094
"The 62 Queens Library branches, like other libraries serving large immigrant populations, have increased their collections in foreign languages.",Queens Libraries Speak the Mother Tongue,201201,0.5574,0,0.787,0.213
"The fires, believed to have begun in Torres del Paine National Park last week, have also affected two other regions.",Chile’s President Defends His Response to Wildfires,201201,-0.1531,0.078,0.922,0
"Even here, in a rural, conservative pocket of Iowa known for its unapologetic social conservatism and evangelical tilt, the caucus had a deeply unsettled feel on Tuesday night.",Iowa’s Decision Night Arrives With the Air Full of the Unknown,201201,-0.3804,0.094,0.906,0
"The rookie Kyrie Irving had 20 points, leading the host Cleveland Cavaliers to a 115-101 win over the Charlotte Bobcats.",Cavaliers Climb Over .500,201201,0.5859,0,0.826,0.174
A commission to address a wide range of issues is expected to be announced in Gov. Andrew M. Cuomo’s State of the State address.,Governor Expected to Set Up Panel on Education Reform,201201,0,0,1,0
"Corrections appearing in print on January 4, 2012.",Corrections: January 4,201201,0,0,1,0
"Youssou N’Dour, although extremely popular in his country, must overcome a lack of political experience in his campaign.",Singer Responds to ‘Patriotic Duty’ to Enter Senegal’s Presidential Race,201201,0.2006,0.113,0.736,0.152
"The Arab League plans for a total of 110 monitors in Syria by week’s end, but activists say hundreds or thousands are needed.",Syria Killings Continue; Group to Add Observers,201201,0,0,1,0
"Kurdistan, the region of Iraq whose fortunes improved as a result of American involvement, is at an anxious turning point now that the troops are gone and a political crisis has emerged.",Iraq’s Factional Chaos Threatens to Disrupt a Kurdish Haven,201201,-0.4588,0.169,0.746,0.086
"If he can carry his momentum to other states, Ron Paul will probably gain influence in the national Republican Party platform.",Backers Hope Paul’s Iowa Strategy Will Move His Message,201201,0.7269,0,0.757,0.243
Talks between Israel and the Palestinian Authority in Jordan are taking place in a region in which political Islam is emerging as a potentially transformative force.,"As Israelis and Palestinians Talk, the Rise of a Political Islam Alters the Equation",201201,0.0772,0,0.947,0.053
A poll of voters entering the Iowa Republican caucuses on Tuesday indicated a sharp divide between defeating President Obama and representing traditional conservative principles.,"Electability and Principles Split Iowa Votes, Poll Finds",201201,-0.3818,0.11,0.89,0
